Student_ID,Interests,Strengths,Skills,Marks,Personality,Goals,Budget,Suggested_Career,Recommended_Course,Scholarship_Option
251,Maths,Problem Solving,Marketing,75,Extrovert,Start a business,Low,Doctor,Math Foundations,Need-based Aid
252,Science,Leadership,Marketing,77,Ambivert,Develop new skills,Low,Entrepreneur,Business Management,STEM Scholarship
253,Business,Analysis,Java,62,Extrovert,Start a business,Low,Doctor,Python Basics,National Merit Scholarship
254,Science,Problem Solving,Public Speaking,50,Extrovert,Develop new skills,Medium,Mechanical Engineer,Biology 101,Arts Talent Scholarship
255,Technology,Problem Solving,Marketing,75,Introvert,Develop new skills,Medium,Teacher,Math Foundations,Arts Talent Scholarship
256,Design,Logical Thinking,Drawing,99,Extrovert,Higher studies,Low,Data Analyst,Graphic Design,National Merit Scholarship
257,Medicine,Leadership,Python,73,Introvert,Start a business,High,Teacher,Python Basics,STEM Scholarship
258,Maths,Analysis,Public Speaking,86,Introvert,Develop new skills,Low,Doctor,Math Foundations,Need-based Aid
259,Business,Leadership,Java,80,Ambivert,Higher studies,High,Doctor,Business Management,STEM Scholarship
260,Business,Logical Thinking,Statistics,50,Introvert,Get a good job,Low,Software Engineer,Graphic Design,Arts Talent Scholarship
261,Arts,Creativity,Drawing,75,Ambivert,Higher studies,Medium,Data Analyst,Biology 101,STEM Scholarship
262,Medicine,Logical Thinking,Drawing,92,Ambivert,Higher studies,Low,Entrepreneur,Business Management,STEM Scholarship
263,Arts,Analysis,Public Speaking,60,Introvert,Get a good job,Medium,Data Analyst,Math Foundations,Need-based Aid
264,Maths,Problem Solving,Java,82,Ambivert,Higher studies,Medium,Software Engineer,Python Basics,Arts Talent Scholarship
265,Medicine,Communication,Drawing,57,Ambivert,Start a business,High,Teacher,Data Science Intro,National Merit Scholarship
266,Technology,Logical Thinking,Java,50,Ambivert,Start a business,Medium,Designer,Graphic Design,National Merit Scholarship
267,Sports,Leadership,Drawing,100,Ambivert,Higher studies,Medium,Designer,Business Management,National Merit Scholarship
268,Business,Problem Solving,Statistics,71,Extrovert,Get a good job,Medium,Teacher,Data Science Intro,STEM Scholarship
269,Technology,Communication,Physics,99,Ambivert,Start a business,High,Designer,Data Science Intro,STEM Scholarship
270,Sports,Problem Solving,Biology,69,Ambivert,Start a business,Medium,Doctor,Biology 101,Need-based Aid
271,Design,Problem Solving,Java,90,Extrovert,Higher studies,Medium,Entrepreneur,Biology 101,Arts Talent Scholarship
272,Business,Analysis,Public Speaking,68,Ambivert,Get a good job,Low,Doctor,Data Science Intro,STEM Scholarship
273,Science,Analysis,Statistics,78,Introvert,Start a business,Medium,Teacher,Graphic Design,National Merit Scholarship
274,Design,Analysis,Drawing,100,Extrovert,Start a business,Low,Mechanical Engineer,Business Management,National Merit Scholarship
275,Design,Communication,Public Speaking,99,Ambivert,Get a good job,Medium,Entrepreneur,Math Foundations,Need-based Aid
276,Business,Communication,Marketing,52,Introvert,Start a business,Low,Software Engineer,Graphic Design,Arts Talent Scholarship
277,Business,Problem Solving,Java,99,Extrovert,Get a good job,High,Entrepreneur,Math Foundations,Need-based Aid
278,Science,Communication,Python,81,Extrovert,Get a good job,Low,Entrepreneur,Math Foundations,Arts Talent Scholarship
279,Medicine,Communication,Python,82,Introvert,Higher studies,High,Data Analyst,Biology 101,STEM Scholarship
280,Arts,Creativity,Java,88,Extrovert,Develop new skills,Low,Data Analyst,Data Science Intro,Arts Talent Scholarship
281,Technology,Leadership,Public Speaking,61,Introvert,Higher studies,High,Designer,Biology 101,National Merit Scholarship
282,Business,Communication,Java,99,Ambivert,Higher studies,Low,Designer,Math Foundations,National Merit Scholarship
283,Arts,Communication,Public Speaking,94,Introvert,Higher studies,High,Entrepreneur,Data Science Intro,Arts Talent Scholarship
284,Sports,Communication,Python,85,Extrovert,Higher studies,High,Designer,Data Science Intro,STEM Scholarship
285,Sports,Problem Solving,Statistics,93,Introvert,Develop new skills,Low,Teacher,Math Foundations,National Merit Scholarship
286,Science,Communication,Physics,60,Extrovert,Higher studies,Low,Designer,Graphic Design,National Merit Scholarship
287,Sports,Creativity,Python,69,Ambivert,Get a good job,Low,Designer,Python Basics,STEM Scholarship
288,Technology,Leadership,Biology,56,Extrovert,Start a business,High,Doctor,Data Science Intro,National Merit Scholarship
289,Maths,Problem Solving,Public Speaking,81,Ambivert,Get a good job,Low,Software Engineer,Graphic Design,National Merit Scholarship
290,Science,Analysis,Statistics,100,Ambivert,Start a business,Medium,Mechanical Engineer,Biology 101,Need-based Aid
291,Design,Creativity,Marketing,68,Extrovert,Get a good job,High,Data Analyst,Biology 101,STEM Scholarship
292,Maths,Communication,Drawing,87,Introvert,Develop new skills,High,Entrepreneur,Business Management,National Merit Scholarship
293,Sports,Problem Solving,Biology,55,Introvert,Start a business,Medium,Software Engineer,Business Management,National Merit Scholarship
294,Medicine,Analysis,Biology,92,Introvert,Get a good job,High,Designer,Python Basics,Arts Talent Scholarship
295,Technology,Communication,Python,96,Extrovert,Develop new skills,Low,Entrepreneur,Data Science Intro,National Merit Scholarship
296,Medicine,Creativity,Python,85,Extrovert,Higher studies,Low,Designer,Biology 101,Arts Talent Scholarship
297,Maths,Leadership,Drawing,70,Ambivert,Get a good job,High,Teacher,Data Science Intro,Need-based Aid
298,Science,Creativity,Marketing,84,Extrovert,Develop new skills,Medium,Doctor,Biology 101,National Merit Scholarship
299,Sports,Problem Solving,Python,58,Introvert,Develop new skills,High,Entrepreneur,Python Basics,Need-based Aid
300,Science,Problem Solving,Physics,77,Ambivert,Get a good job,High,Doctor,Graphic Design,STEM Scholarship
301,Arts,Creativity,Physics,77,Introvert,Develop new skills,Low,Mechanical Engineer,Business Management,National Merit Scholarship
302,Maths,Leadership,Java,97,Extrovert,Higher studies,Medium,Mechanical Engineer,Biology 101,STEM Scholarship
303,Design,Analysis,Statistics,66,Ambivert,Start a business,Low,Mechanical Engineer,Graphic Design,Need-based Aid
304,Technology,Creativity,Public Speaking,69,Introvert,Develop new skills,Medium,Mechanical Engineer,Business Management,National Merit Scholarship
305,Medicine,Problem Solving,Java,54,Introvert,Get a good job,High,Data Analyst,Python Basics,Arts Talent Scholarship
306,Design,Analysis,Java,82,Extrovert,Start a business,Medium,Doctor,Graphic Design,Need-based Aid
307,Medicine,Creativity,Statistics,62,Introvert,Start a business,Low,Entrepreneur,Graphic Design,STEM Scholarship
308,Business,Logical Thinking,Drawing,99,Introvert,Develop new skills,High,Software Engineer,Graphic Design,Need-based Aid
309,Medicine,Communication,Public Speaking,71,Introvert,Develop new skills,High,Mechanical Engineer,Math Foundations,Need-based Aid
310,Sports,Problem Solving,Physics,81,Extrovert,Get a good job,Low,Teacher,Math Foundations,Arts Talent Scholarship
311,Science,Logical Thinking,Statistics,64,Introvert,Start a business,Medium,Software Engineer,Business Management,STEM Scholarship
312,Medicine,Creativity,Statistics,75,Ambivert,Higher studies,High,Data Analyst,Biology 101,Need-based Aid
313,Sports,Analysis,Python,94,Introvert,Get a good job,Low,Entrepreneur,Math Foundations,Arts Talent Scholarship
314,Business,Logical Thinking,Python,82,Extrovert,Develop new skills,Medium,Data Analyst,Business Management,STEM Scholarship
315,Science,Communication,Marketing,72,Ambivert,Start a business,Low,Designer,Math Foundations,National Merit Scholarship
316,Business,Analysis,Drawing,54,Introvert,Get a good job,Low,Entrepreneur,Business Management,Arts Talent Scholarship
317,Arts,Communication,Statistics,51,Introvert,Develop new skills,High,Data Analyst,Biology 101,Arts Talent Scholarship
318,Technology,Communication,Java,57,Introvert,Develop new skills,Low,Teacher,Python Basics,Need-based Aid
319,Arts,Problem Solving,Drawing,94,Ambivert,Develop new skills,Low,Software Engineer,Math Foundations,Need-based Aid
320,Science,Logical Thinking,Drawing,77,Ambivert,Get a good job,Medium,Software Engineer,Python Basics,STEM Scholarship
321,Design,Problem Solving,Java,86,Introvert,Get a good job,Low,Designer,Python Basics,STEM Scholarship
322,Medicine,Leadership,Biology,58,Introvert,Higher studies,High,Data Analyst,Math Foundations,STEM Scholarship
323,Maths,Communication,Drawing,52,Ambivert,Develop new skills,Low,Data Analyst,Python Basics,Arts Talent Scholarship
324,Science,Leadership,Statistics,96,Ambivert,Develop new skills,High,Designer,Data Science Intro,Need-based Aid
325,Business,Leadership,Physics,96,Extrovert,Get a good job,Medium,Designer,Python Basics,Arts Talent Scholarship
326,Design,Creativity,Marketing,85,Extrovert,Develop new skills,Low,Mechanical Engineer,Math Foundations,National Merit Scholarship
327,Design,Leadership,Java,98,Extrovert,Develop new skills,High,Doctor,Math Foundations,Need-based Aid
328,Science,Logical Thinking,Java,69,Ambivert,Higher studies,Medium,Designer,Graphic Design,Need-based Aid
329,Business,Problem Solving,Biology,65,Extrovert,Higher studies,High,Mechanical Engineer,Python Basics,Need-based Aid
330,Science,Communication,Public Speaking,54,Extrovert,Start a business,Low,Designer,Data Science Intro,Arts Talent Scholarship
331,Business,Problem Solving,Drawing,74,Ambivert,Get a good job,Medium,Designer,Math Foundations,Need-based Aid
332,Maths,Creativity,Physics,65,Ambivert,Higher studies,Low,Teacher,Business Management,National Merit Scholarship
333,Medicine,Creativity,Statistics,53,Extrovert,Develop new skills,High,Mechanical Engineer,Biology 101,Arts Talent Scholarship
334,Business,Creativity,Marketing,81,Extrovert,Develop new skills,High,Data Analyst,Graphic Design,Need-based Aid
335,Science,Problem Solving,Statistics,84,Extrovert,Start a business,Medium,Data Analyst,Biology 101,Need-based Aid
336,Maths,Leadership,Statistics,52,Ambivert,Start a business,High,Doctor,Python Basics,Need-based Aid
337,Technology,Logical Thinking,Java,100,Extrovert,Get a good job,High,Entrepreneur,Math Foundations,National Merit Scholarship
338,Technology,Leadership,Java,65,Ambivert,Higher studies,Low,Mechanical Engineer,Math Foundations,Need-based Aid
339,Business,Leadership,Physics,89,Ambivert,Start a business,Low,Data Analyst,Business Management,National Merit Scholarship
340,Arts,Creativity,Biology,95,Introvert,Higher studies,Low,Software Engineer,Data Science Intro,Need-based Aid
341,Arts,Problem Solving,Java,77,Introvert,Higher studies,High,Doctor,Data Science Intro,Need-based Aid
342,Design,Leadership,Statistics,95,Ambivert,Develop new skills,Medium,Software Engineer,Biology 101,Arts Talent Scholarship
343,Arts,Analysis,Physics,82,Ambivert,Get a good job,Low,Teacher,Data Science Intro,Arts Talent Scholarship
344,Business,Analysis,Biology,90,Introvert,Start a business,Low,Designer,Business Management,Arts Talent Scholarship
345,Technology,Leadership,Drawing,95,Introvert,Start a business,Medium,Data Analyst,Biology 101,National Merit Scholarship
346,Arts,Logical Thinking,Marketing,68,Introvert,Start a business,High,Mechanical Engineer,Business Management,Arts Talent Scholarship
347,Design,Communication,Public Speaking,88,Ambivert,Higher studies,Medium,Software Engineer,Graphic Design,STEM Scholarship
348,Technology,Logical Thinking,Biology,60,Ambivert,Higher studies,Medium,Teacher,Business Management,Need-based Aid
349,Medicine,Logical Thinking,Biology,76,Extrovert,Start a business,High,Mechanical Engineer,Business Management,Arts Talent Scholarship
350,Medicine,Problem Solving,Drawing,70,Introvert,Develop new skills,Low,Data Analyst,Python Basics,Arts Talent Scholarship
351,Sports,Analysis,Physics,95,Introvert,Get a good job,High,Software Engineer,Data Science Intro,Need-based Aid
352,Science,Logical Thinking,Python,62,Extrovert,Develop new skills,High,Entrepreneur,Math Foundations,STEM Scholarship
353,Sports,Creativity,Drawing,63,Extrovert,Develop new skills,High,Designer,Data Science Intro,STEM Scholarship
354,Business,Communication,Statistics,92,Extrovert,Develop new skills,High,Teacher,Python Basics,Arts Talent Scholarship
355,Medicine,Analysis,Statistics,90,Extrovert,Higher studies,High,Doctor,Biology 101,Need-based Aid
356,Science,Communication,Statistics,65,Ambivert,Develop new skills,High,Designer,Biology 101,STEM Scholarship
357,Sports,Communication,Physics,74,Introvert,Get a good job,Medium,Doctor,Biology 101,Need-based Aid
358,Business,Creativity,Public Speaking,57,Ambivert,Develop new skills,Medium,Entrepreneur,Biology 101,National Merit Scholarship
359,Technology,Logical Thinking,Java,66,Ambivert,Higher studies,Medium,Entrepreneur,Business Management,Arts Talent Scholarship
360,Business,Analysis,Java,50,Extrovert,Start a business,Low,Doctor,Math Foundations,Need-based Aid
361,Medicine,Leadership,Biology,70,Extrovert,Develop new skills,Low,Doctor,Business Management,National Merit Scholarship
362,Technology,Communication,Java,66,Ambivert,Start a business,Medium,Software Engineer,Business Management,National Merit Scholarship
363,Science,Logical Thinking,Java,77,Extrovert,Develop new skills,High,Doctor,Business Management,STEM Scholarship
364,Science,Logical Thinking,Physics,65,Ambivert,Get a good job,Low,Mechanical Engineer,Data Science Intro,Arts Talent Scholarship
365,Arts,Problem Solving,Physics,65,Ambivert,Higher studies,Low,Entrepreneur,Python Basics,Need-based Aid
366,Science,Creativity,Java,100,Ambivert,Start a business,Low,Teacher,Python Basics,STEM Scholarship
367,Technology,Communication,Physics,79,Extrovert,Start a business,Medium,Mechanical Engineer,Biology 101,Arts Talent Scholarship
368,Arts,Creativity,Java,56,Extrovert,Develop new skills,Medium,Entrepreneur,Graphic Design,Need-based Aid
369,Design,Communication,Marketing,72,Extrovert,Higher studies,Low,Designer,Math Foundations,Need-based Aid
370,Technology,Leadership,Marketing,72,Ambivert,Develop new skills,Medium,Teacher,Business Management,Need-based Aid
371,Design,Problem Solving,Marketing,93,Introvert,Get a good job,High,Teacher,Business Management,Arts Talent Scholarship
372,Arts,Creativity,Drawing,71,Ambivert,Develop new skills,Low,Teacher,Data Science Intro,Arts Talent Scholarship
373,Maths,Communication,Biology,67,Ambivert,Higher studies,Medium,Doctor,Data Science Intro,Need-based Aid
374,Arts,Communication,Physics,86,Ambivert,Higher studies,Low,Designer,Biology 101,STEM Scholarship
375,Business,Communication,Marketing,84,Introvert,Start a business,Low,Software Engineer,Data Science Intro,Need-based Aid
376,Arts,Logical Thinking,Public Speaking,78,Extrovert,Develop new skills,Medium,Entrepreneur,Biology 101,Arts Talent Scholarship
377,Technology,Analysis,Biology,64,Introvert,Start a business,Low,Software Engineer,Python Basics,Need-based Aid
378,Technology,Analysis,Python,61,Extrovert,Higher studies,Low,Teacher,Graphic Design,National Merit Scholarship
379,Design,Logical Thinking,Python,54,Ambivert,Develop new skills,Low,Doctor,Python Basics,National Merit Scholarship
380,Arts,Creativity,Physics,75,Ambivert,Start a business,Low,Designer,Math Foundations,Need-based Aid
381,Maths,Leadership,Biology,98,Extrovert,Develop new skills,High,Software Engineer,Business Management,Arts Talent Scholarship
382,Business,Creativity,Python,62,Extrovert,Get a good job,Medium,Data Analyst,Python Basics,Need-based Aid
383,Technology,Analysis,Public Speaking,76,Ambivert,Higher studies,Low,Teacher,Biology 101,Arts Talent Scholarship
384,Medicine,Creativity,Python,55,Extrovert,Develop new skills,Low,Doctor,Data Science Intro,National Merit Scholarship
385,Sports,Communication,Statistics,70,Introvert,Develop new skills,Low,Entrepreneur,Business Management,STEM Scholarship
386,Design,Leadership,Biology,87,Ambivert,Start a business,High,Teacher,Graphic Design,Need-based Aid
387,Sports,Problem Solving,Java,60,Ambivert,Higher studies,High,Designer,Math Foundations,National Merit Scholarship
388,Design,Communication,Python,78,Ambivert,Develop new skills,Low,Mechanical Engineer,Python Basics,Need-based Aid
389,Technology,Logical Thinking,Drawing,84,Ambivert,Higher studies,High,Mechanical Engineer,Graphic Design,STEM Scholarship
390,Design,Creativity,Drawing,71,Introvert,Start a business,Medium,Software Engineer,Math Foundations,Need-based Aid
391,Sports,Communication,Python,67,Extrovert,Start a business,High,Designer,Python Basics,Need-based Aid
392,Business,Leadership,Biology,82,Extrovert,Develop new skills,High,Mechanical Engineer,Biology 101,National Merit Scholarship
393,Medicine,Communication,Physics,97,Introvert,Get a good job,High,Designer,Python Basics,STEM Scholarship
394,Sports,Logical Thinking,Statistics,91,Ambivert,Start a business,Medium,Designer,Python Basics,Need-based Aid
395,Technology,Leadership,Statistics,77,Introvert,Get a good job,Medium,Software Engineer,Business Management,Arts Talent Scholarship
396,Technology,Communication,Python,73,Ambivert,Start a business,Medium,Software Engineer,Graphic Design,Arts Talent Scholarship
397,Maths,Logical Thinking,Java,54,Ambivert,Get a good job,High,Doctor,Business Management,Arts Talent Scholarship
398,Medicine,Communication,Physics,68,Ambivert,Start a business,Medium,Entrepreneur,Biology 101,National Merit Scholarship
399,Science,Creativity,Physics,96,Extrovert,Get a good job,Medium,Doctor,Data Science Intro,STEM Scholarship
400,Business,Creativity,Biology,66,Ambivert,Start a business,High,Doctor,Business Management,STEM Scholarship
401,Arts,Problem Solving,Drawing,94,Ambivert,Develop new skills,High,Data Analyst,Business Management,National Merit Scholarship
402,Design,Communication,Statistics,69,Ambivert,Start a business,High,Data Analyst,Data Science Intro,National Merit Scholarship
403,Sports,Leadership,Statistics,50,Ambivert,Get a good job,Medium,Data Analyst,Biology 101,Need-based Aid
404,Science,Communication,Statistics,65,Ambivert,Develop new skills,Medium,Mechanical Engineer,Math Foundations,Need-based Aid
405,Design,Logical Thinking,Biology,100,Ambivert,Get a good job,Medium,Mechanical Engineer,Biology 101,National Merit Scholarship
406,Sports,Logical Thinking,Marketing,69,Extrovert,Develop new skills,Medium,Doctor,Business Management,National Merit Scholarship
407,Arts,Creativity,Drawing,82,Introvert,Start a business,High,Teacher,Business Management,Need-based Aid
408,Maths,Problem Solving,Physics,73,Ambivert,Start a business,Medium,Doctor,Data Science Intro,Need-based Aid
409,Technology,Creativity,Public Speaking,64,Introvert,Higher studies,Low,Designer,Python Basics,Need-based Aid
410,Arts,Creativity,Marketing,74,Ambivert,Higher studies,High,Doctor,Graphic Design,National Merit Scholarship
411,Arts,Communication,Physics,74,Ambivert,Higher studies,Low,Designer,Python Basics,STEM Scholarship
412,Business,Logical Thinking,Marketing,79,Introvert,Higher studies,High,Doctor,Biology 101,Arts Talent Scholarship
413,Technology,Communication,Drawing,80,Introvert,Get a good job,Low,Software Engineer,Biology 101,Need-based Aid
414,Arts,Analysis,Marketing,98,Introvert,Develop new skills,Medium,Teacher,Graphic Design,Need-based Aid
415,Science,Logical Thinking,Physics,97,Extrovert,Start a business,Medium,Software Engineer,Biology 101,STEM Scholarship
416,Maths,Leadership,Public Speaking,54,Introvert,Get a good job,High,Doctor,Data Science Intro,Arts Talent Scholarship
417,Business,Analysis,Python,71,Ambivert,Develop new skills,Medium,Doctor,Business Management,National Merit Scholarship
418,Arts,Analysis,Marketing,50,Extrovert,Start a business,High,Entrepreneur,Graphic Design,STEM Scholarship
419,Business,Creativity,Drawing,77,Ambivert,Higher studies,Medium,Teacher,Graphic Design,Need-based Aid
420,Sports,Problem Solving,Public Speaking,94,Ambivert,Start a business,Low,Data Analyst,Python Basics,National Merit Scholarship
421,Sports,Problem Solving,Physics,61,Introvert,Get a good job,Medium,Teacher,Biology 101,Need-based Aid
422,Sports,Logical Thinking,Statistics,97,Extrovert,Start a business,Medium,Mechanical Engineer,Math Foundations,National Merit Scholarship
423,Sports,Problem Solving,Java,72,Extrovert,Get a good job,High,Designer,Graphic Design,Need-based Aid
424,Science,Analysis,Drawing,78,Ambivert,Develop new skills,High,Doctor,Business Management,National Merit Scholarship
425,Business,Communication,Python,58,Ambivert,Develop new skills,Low,Data Analyst,Biology 101,Need-based Aid
426,Medicine,Analysis,Python,50,Extrovert,Get a good job,High,Doctor,Graphic Design,Need-based Aid
427,Science,Leadership,Python,93,Introvert,Higher studies,High,Designer,Business Management,Need-based Aid
428,Medicine,Problem Solving,Marketing,81,Ambivert,Higher studies,High,Teacher,Data Science Intro,National Merit Scholarship
429,Maths,Problem Solving,Statistics,68,Introvert,Start a business,Low,Doctor,Math Foundations,Arts Talent Scholarship
430,Design,Communication,Physics,85,Extrovert,Higher studies,High,Mechanical Engineer,Graphic Design,National Merit Scholarship
431,Design,Analysis,Drawing,71,Introvert,Start a business,Medium,Designer,Data Science Intro,STEM Scholarship
432,Design,Analysis,Python,99,Introvert,Get a good job,Medium,Mechanical Engineer,Graphic Design,STEM Scholarship
433,Business,Leadership,Physics,57,Introvert,Higher studies,Low,Doctor,Graphic Design,National Merit Scholarship
434,Science,Communication,Physics,68,Introvert,Higher studies,Low,Doctor,Business Management,Need-based Aid
435,Arts,Leadership,Java,62,Ambivert,Start a business,High,Teacher,Data Science Intro,STEM Scholarship
436,Arts,Analysis,Python,77,Introvert,Start a business,Medium,Software Engineer,Data Science Intro,National Merit Scholarship
437,Maths,Leadership,Marketing,93,Introvert,Higher studies,Low,Teacher,Biology 101,National Merit Scholarship
438,Sports,Logical Thinking,Biology,54,Extrovert,Start a business,High,Software Engineer,Python Basics,National Merit Scholarship
439,Maths,Leadership,Statistics,53,Extrovert,Start a business,Low,Mechanical Engineer,Math Foundations,Need-based Aid
440,Design,Logical Thinking,Physics,65,Introvert,Start a business,Medium,Mechanical Engineer,Business Management,Need-based Aid
441,Design,Leadership,Drawing,60,Introvert,Higher studies,Medium,Entrepreneur,Python Basics,National Merit Scholarship
442,Science,Analysis,Java,51,Ambivert,Get a good job,Medium,Teacher,Data Science Intro,Need-based Aid
443,Medicine,Analysis,Java,76,Ambivert,Get a good job,High,Mechanical Engineer,Business Management,Need-based Aid
444,Design,Analysis,Drawing,75,Extrovert,Develop new skills,High,Data Analyst,Biology 101,Arts Talent Scholarship
445,Arts,Creativity,Physics,58,Introvert,Develop new skills,High,Doctor,Biology 101,National Merit Scholarship
446,Design,Analysis,Marketing,98,Extrovert,Start a business,High,Entrepreneur,Business Management,STEM Scholarship
447,Design,Logical Thinking,Drawing,89,Introvert,Higher studies,Medium,Doctor,Graphic Design,STEM Scholarship
448,Sports,Communication,Marketing,79,Introvert,Start a business,Low,Mechanical Engineer,Business Management,National Merit Scholarship
449,Technology,Logical Thinking,Statistics,91,Ambivert,Develop new skills,Low,Entrepreneur,Data Science Intro,STEM Scholarship
450,Sports,Logical Thinking,Physics,62,Ambivert,Higher studies,Low,Designer,Data Science Intro,National Merit Scholarship
451,Maths,Analysis,Statistics,60,Introvert,Higher studies,High,Entrepreneur,Graphic Design,Need-based Aid
452,Arts,Creativity,Physics,80,Ambivert,Higher studies,High,Software Engineer,Math Foundations,National Merit Scholarship
453,Science,Analysis,Java,97,Introvert,Develop new skills,Low,Entrepreneur,Business Management,Arts Talent Scholarship
454,Sports,Leadership,Java,51,Introvert,Higher studies,Medium,Doctor,Graphic Design,National Merit Scholarship
455,Arts,Logical Thinking,Physics,55,Ambivert,Develop new skills,Medium,Mechanical Engineer,Math Foundations,Need-based Aid
456,Design,Problem Solving,Public Speaking,83,Ambivert,Develop new skills,Medium,Entrepreneur,Biology 101,National Merit Scholarship
457,Business,Creativity,Statistics,60,Extrovert,Get a good job,High,Mechanical Engineer,Graphic Design,Need-based Aid
458,Maths,Logical Thinking,Physics,66,Extrovert,Get a good job,Medium,Data Analyst,Math Foundations,Need-based Aid
459,Science,Communication,Java,73,Extrovert,Develop new skills,High,Teacher,Business Management,STEM Scholarship
460,Design,Creativity,Python,56,Introvert,Start a business,Low,Designer,Data Science Intro,Need-based Aid
461,Technology,Communication,Drawing,65,Ambivert,Get a good job,Low,Mechanical Engineer,Graphic Design,Arts Talent Scholarship
462,Science,Communication,Marketing,77,Extrovert,Get a good job,Medium,Mechanical Engineer,Graphic Design,Need-based Aid
463,Medicine,Creativity,Python,72,Extrovert,Start a business,Low,Data Analyst,Math Foundations,STEM Scholarship
464,Medicine,Analysis,Public Speaking,78,Ambivert,Higher studies,High,Software Engineer,Business Management,National Merit Scholarship
465,Design,Leadership,Statistics,95,Extrovert,Higher studies,Low,Entrepreneur,Python Basics,National Merit Scholarship
466,Science,Analysis,Statistics,99,Ambivert,Develop new skills,Low,Designer,Math Foundations,STEM Scholarship
467,Medicine,Problem Solving,Python,54,Ambivert,Higher studies,Low,Designer,Data Science Intro,Arts Talent Scholarship
468,Design,Communication,Drawing,60,Extrovert,Develop new skills,Low,Teacher,Data Science Intro,STEM Scholarship
469,Design,Creativity,Python,71,Ambivert,Higher studies,Low,Mechanical Engineer,Graphic Design,National Merit Scholarship
470,Medicine,Communication,Java,92,Extrovert,Get a good job,Low,Software Engineer,Business Management,Need-based Aid
471,Arts,Communication,Python,97,Extrovert,Get a good job,High,Designer,Graphic Design,Need-based Aid
472,Technology,Problem Solving,Java,80,Ambivert,Higher studies,High,Designer,Math Foundations,National Merit Scholarship
473,Medicine,Problem Solving,Public Speaking,80,Extrovert,Higher studies,High,Mechanical Engineer,Data Science Intro,STEM Scholarship
474,Sports,Leadership,Biology,88,Extrovert,Get a good job,High,Teacher,Data Science Intro,Arts Talent Scholarship
475,Sports,Communication,Marketing,63,Ambivert,Start a business,Low,Data Analyst,Business Management,Need-based Aid
476,Technology,Problem Solving,Drawing,100,Introvert,Get a good job,Low,Teacher,Python Basics,Need-based Aid
477,Arts,Leadership,Biology,70,Ambivert,Get a good job,Medium,Designer,Biology 101,Need-based Aid
478,Medicine,Creativity,Java,96,Ambivert,Develop new skills,Low,Designer,Math Foundations,STEM Scholarship
479,Medicine,Communication,Marketing,56,Extrovert,Start a business,Medium,Software Engineer,Data Science Intro,STEM Scholarship
480,Maths,Creativity,Python,94,Extrovert,Get a good job,Medium,Entrepreneur,Business Management,Need-based Aid
481,Sports,Logical Thinking,Statistics,90,Extrovert,Get a good job,Medium,Software Engineer,Graphic Design,National Merit Scholarship
482,Technology,Analysis,Physics,94,Extrovert,Get a good job,Medium,Data Analyst,Data Science Intro,Arts Talent Scholarship
483,Design,Creativity,Biology,55,Extrovert,Get a good job,Medium,Entrepreneur,Math Foundations,Arts Talent Scholarship
484,Sports,Problem Solving,Drawing,69,Introvert,Get a good job,Medium,Teacher,Business Management,National Merit Scholarship
485,Medicine,Logical Thinking,Physics,60,Introvert,Higher studies,Low,Data Analyst,Graphic Design,National Merit Scholarship
486,Science,Leadership,Java,79,Ambivert,Higher studies,High,Designer,Business Management,STEM Scholarship
487,Sports,Communication,Statistics,65,Introvert,Higher studies,Medium,Doctor,Data Science Intro,National Merit Scholarship
488,Technology,Communication,Public Speaking,87,Extrovert,Develop new skills,Low,Mechanical Engineer,Data Science Intro,National Merit Scholarship
489,Sports,Problem Solving,Public Speaking,82,Extrovert,Get a good job,High,Entrepreneur,Math Foundations,Arts Talent Scholarship
490,Arts,Creativity,Python,100,Introvert,Develop new skills,Medium,Doctor,Data Science Intro,National Merit Scholarship
491,Design,Analysis,Java,54,Extrovert,Start a business,Medium,Designer,Math Foundations,Need-based Aid
492,Design,Communication,Python,52,Ambivert,Higher studies,Medium,Teacher,Python Basics,National Merit Scholarship
493,Medicine,Leadership,Marketing,95,Extrovert,Get a good job,Medium,Entrepreneur,Biology 101,Need-based Aid
494,Medicine,Analysis,Physics,63,Ambivert,Develop new skills,Low,Teacher,Graphic Design,Arts Talent Scholarship
495,Maths,Analysis,Statistics,82,Extrovert,Develop new skills,Medium,Software Engineer,Math Foundations,Arts Talent Scholarship
496,Maths,Problem Solving,Marketing,96,Ambivert,Higher studies,High,Software Engineer,Python Basics,National Merit Scholarship
497,Design,Problem Solving,Java,54,Introvert,Start a business,High,Teacher,Data Science Intro,STEM Scholarship
498,Business,Leadership,Biology,82,Ambivert,Get a good job,High,Data Analyst,Data Science Intro,Need-based Aid
499,Medicine,Communication,Public Speaking,100,Ambivert,Start a business,Medium,Data Analyst,Python Basics,Arts Talent Scholarship
500,Maths,Problem Solving,Statistics,72,Ambivert,Higher studies,High,Software Engineer,Data Science Intro,Need-based Aid
501,Technology,Creativity,Python,70,Introvert,Develop new skills,Medium,Data Analyst,Biology 101,Need-based Aid
502,Science,Logical Thinking,Java,95,Ambivert,Get a good job,Medium,Software Engineer,Python Basics,Need-based Aid
503,Maths,Analysis,Physics,88,Extrovert,Get a good job,Low,Data Analyst,Python Basics,Arts Talent Scholarship
